1,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0
0,0,8,15,9,11,2,0,0,0,0,0,0,0,0,0
0,0,11,0,15,0,1,3,0,0,0,6,0,0,14,2
0,0,0,0,0,0,0,0,0,0,0,0,7,13,8,3
0,9,0,2,0,0,11,0,0,0,0,0,3,0,0,0
0,0,0,1,0,6,0,8,0,0,10,0,4,16,0,5
10,0,0,0,0,13,0,12,0,0,2,9,0,14,0,0
4,3,0,5,0,16,0,0,0,1,0,0,0,7,0,13
3,0,0,10,8,0,0,0,9,2,6,0,16,0,13,0
11,0,0,7,0,0,10,9,4,0,13,14,0,0,0,12
0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,14,0,7,16,10,0,12,0,5,3,11,0
0,0,0,6,7,0,8,0,0,13,0,0,0,10,12,0
13,12,7,9,0,0,0,15,16,6,0,0,0,0,0,0
0,0,3,0,2,0,0,14,0,0,0,0,0,11,0,6
0,0,0,4,0,0,0,13,0,8,3,15,9,0,0,7
